d1,d2,d3,d4,d5,validloss
0.1,0.1,0.2,0.2,0.0,0.60336405
0.0,0.2,0.0,0.1,0.1,0.6033655
0.0,0.2,0.2,0.2,0.1,0.6033891
0.2,0.0,0.1,0.1,0.2,0.6033943
0.2,0.2,0.2,0.0,0.1,0.603401
0.1,0.0,0.0,0.2,0.0,0.6034111
0.1,0.0,0.2,0.1,0.1,0.6034281
0.1,0.0,0.2,0.1,0.2,0.6034337
0.2,0.1,0.2,0.2,0.2,0.6034693
0.0,0.1,0.1,0.0,0.0,0.60353
0.0,0.0,0.1,0.1,0.2,0.6035538
0.0,0.2,0.2,0.0,0.0,0.6035727
0.1,0.1,0.0,0.0,0.2,0.6035978
0.0,0.2,0.2,0.1,0.1,0.60360277
0.2,0.1,0.2,0.1,0.2,0.603638
0.0,0.2,0.0,0.2,0.2,0.6036645
0.2,0.2,0.1,0.2,0.0,0.6037053
0.0,0.2,0.1,0.1,0.0,0.60371286
0.2,0.0,0.2,0.1,0.0,0.60374516
0.0,0.0,0.1,0.1,0.0,0.6037811
0.2,0.0,0.0,0.0,0.2,0.60380167
0.0,0.1,0.1,0.2,0.1,0.6038299
0.2,0.0,0.2,0.2,0.2,0.60384077
0.0,0.0,0.0,0.1,0.2,0.6038705
0.1,0.1,0.1,0.0,0.0,0.60387415
0.0,0.1,0.2,0.0,0.2,0.6038886
0.1,0.1,0.1,0.2,0.0,0.6039137
0.1,0.0,0.0,0.2,0.1,0.60394186
0.2,0.2,0.2,0.2,0.0,0.60395086
0.1,0.0,0.1,0.0,0.1,0.6039536
0.1,0.1,0.2,0.2,0.2,0.6039608
0.2,0.2,0.0,0.0,0.0,0.6040154
0.0,0.1,0.0,0.2,0.0,0.6040675
0.2,0.0,0.0,0.1,0.2,0.6040815
0.1,0.1,0.1,0.0,0.2,0.6041229
0.0,0.1,0.0,0.1,0.1,0.6041568
0.1,0.2,0.1,0.2,0.1,0.6041869
0.1,0.0,0.1,0.2,0.2,0.6042265
0.0,0.2,0.2,0.0,0.2,0.60423285
0.1,0.2,0.2,0.1,0.2,0.60425204
0.0,0.1,0.2,0.1,0.0,0.60427225
0.1,0.0,0.2,0.0,0.2,0.6042888
0.2,0.0,0.0,0.0,0.1,0.604291
0.1,0.0,0.1,0.1,0.1,0.60430205
0.2,0.2,0.1,0.2,0.2,0.6043283
0.1,0.2,0.0,0.0,0.0,0.60433733
0.1,0.2,0.2,0.0,0.1,0.6043387
0.0,0.0,0.2,0.0,0.1,0.60436887
0.1,0.2,0.1,0.2,0.2,0.6043913
0.2,0.0,0.1,0.1,0.0,0.60442585
0.2,0.2,0.1,0.0,0.0,0.6044279
0.0,0.1,0.2,0.2,0.2,0.60450083
0.0,0.1,0.0,0.0,0.2,0.60458744
0.0,0.1,0.0,0.1,0.2,0.604648
0.2,0.2,0.2,0.2,0.2,0.6046697
0.2,0.2,0.1,0.1,0.0,0.60471606
0.1,0.0,0.0,0.0,0.1,0.604792
0.0,0.2,0.2,0.0,0.1,0.6048219
0.1,0.2,0.1,0.1,0.0,0.604901
0.2,0.2,0.0,0.2,0.1,0.6049778
0.1,0.1,0.1,0.2,0.2,0.6049911
0.0,0.0,0.0,0.0,0.0,0.6049953
0.1,0.2,0.2,0.2,0.0,0.6049961
0.2,0.1,0.1,0.0,0.2,0.6049963
0.2,0.2,0.1,0.0,0.2,0.6050586
0.0,0.2,0.1,0.1,0.1,0.6050598
0.2,0.1,0.0,0.2,0.0,0.6051005
0.0,0.0,0.0,0.0,0.2,0.605122
0.2,0.0,0.1,0.1,0.1,0.60513204
0.1,0.2,0.1,0.1,0.1,0.6051445
0.1,0.0,0.1,0.1,0.2,0.6051645
0.1,0.1,0.2,0.1,0.1,0.60519296
0.2,0.1,0.0,0.0,0.2,0.6051998
0.1,0.1,0.1,0.0,0.1,0.6052182
0.0,0.2,0.1,0.2,0.0,0.6052219
0.2,0.1,0.0,0.1,0.0,0.60528815
0.0,0.0,0.1,0.0,0.1,0.6053775
0.2,0.0,0.0,0.2,0.2,0.60551184
0.0,0.0,0.2,0.0,0.0,0.60553586
0.0,0.2,0.0,0.0,0.1,0.6055567
0.0,0.2,0.1,0.0,0.1,0.60556495
0.1,0.0,0.0,0.1,0.1,0.6056006
0.0,0.2,0.1,0.2,0.2,0.60568976
0.2,0.0,0.2,0.0,0.2,0.6057012
