d1,d2,d3,d4,d5,validloss
0.0,0.0,0.0,0.0,0.0,0.119965665
0.0,0.0,0.0,0.1,0.0,0.10771371
0.0,0.0,0.0,0.2,0.0,0.10622753
0.0,0.0,0.0,0.0,0.1,0.15358505
0.0,0.0,0.0,0.1,0.1,0.10668852
0.0,0.0,0.0,0.2,0.1,0.10607627
0.0,0.0,0.0,0.0,0.2,0.0991751
0.0,0.0,0.0,0.1,0.2,0.16769482
0.0,0.0,0.0,0.2,0.2,0.098516986
0.0,0.1,0.0,0.0,0.0,0.10212968
0.0,0.1,0.0,0.1,0.0,0.10218277
0.0,0.1,0.0,0.2,0.0,0.10541625
0.0,0.1,0.0,0.0,0.1,0.10281753
0.0,0.1,0.0,0.1,0.1,0.16301203
0.0,0.1,0.0,0.2,0.1,0.11424672
0.0,0.1,0.0,0.0,0.2,0.10536002
0.0,0.1,0.0,0.1,0.2,0.10659156
0.0,0.1,0.0,0.2,0.2,0.11313769
0.0,0.2,0.0,0.0,0.0,0.11280076
0.0,0.2,0.0,0.1,0.0,0.10791525
0.0,0.2,0.0,0.2,0.0,0.103709124
0.0,0.2,0.0,0.0,0.1,0.1611399
0.0,0.2,0.0,0.1,0.1,0.101596884
0.0,0.2,0.0,0.2,0.1,0.10907577
0.0,0.2,0.0,0.0,0.2,0.105437726
0.0,0.2,0.0,0.1,0.2,0.09559954
0.0,0.2,0.0,0.2,0.2,0.10501149
0.1,0.0,0.0,0.0,0.0,0.11206549
0.1,0.0,0.0,0.1,0.0,0.099579364
0.1,0.0,0.0,0.2,0.0,0.10817002
0.1,0.0,0.0,0.0,0.1,0.0949639
0.1,0.0,0.0,0.1,0.1,0.100436285
0.1,0.0,0.0,0.2,0.1,0.10885752
0.1,0.0,0.0,0.0,0.2,0.10789084
0.1,0.0,0.0,0.1,0.2,0.10499806
0.1,0.0,0.0,0.2,0.2,0.10837617
0.1,0.1,0.0,0.0,0.0,0.10501577
0.1,0.1,0.0,0.1,0.0,0.09854803
0.1,0.1,0.0,0.2,0.0,0.11179911
0.1,0.1,0.0,0.0,0.1,0.1110312
0.1,0.1,0.0,0.1,0.1,0.110502645
0.1,0.1,0.0,0.2,0.1,0.11346296
0.1,0.1,0.0,0.0,0.2,0.11142659
0.1,0.1,0.0,0.1,0.2,0.10037981
0.1,0.1,0.0,0.2,0.2,0.098386526
0.1,0.2,0.0,0.0,0.0,0.10870554
0.1,0.2,0.0,0.1,0.0,0.11357507
0.1,0.2,0.0,0.2,0.0,0.12197297
0.1,0.2,0.0,0.0,0.1,0.115775235
0.1,0.2,0.0,0.1,0.1,0.113338344
0.1,0.2,0.0,0.2,0.1,0.10398908
0.1,0.2,0.0,0.0,0.2,0.1083914
0.1,0.2,0.0,0.1,0.2,0.16017531
0.1,0.2,0.0,0.2,0.2,0.10674708
0.2,0.0,0.0,0.0,0.0,0.12722199
0.2,0.0,0.0,0.1,0.0,0.16110021
